Filename,Title
network_passthrough.balms.png,Network Throughput with passthrough.bal setting
network_transformation.balms.png,Network Throughput with transformation.bal setting
response_time_passthrough.balms.png,Response Time Percentiles with passthrough.bal setting
response_time_transformation.balms.png,Response Time Percentiles with transformation.bal setting
